id,text,label,category,subcategory,difficulty,source,notes,split
UC1_001,URGENT: Your bank account has been suspended. Verify your details immediately at secure-bank-login.com or lose access.,THREAT,T1_Phishing,Credential Theft,easy,synthetic,Classic phishing — urgency + fake URL,train
UC1_002,Your Netflix account will be cancelled. Update payment at netflix-billing-update.net within 24 hours.,THREAT,T1_Phishing,Credential Theft,easy,synthetic,Service suspension phishing,train
UC1_003,Apple ID: Unusual sign-in detected. Confirm your identity: apple-id-verify.support/login,THREAT,T1_Phishing,Credential Theft,medium,synthetic,Brand impersonation — Apple,train
UC1_004,Your PayPal account shows suspicious activity. Click here to secure it: paypal-secure-alert.com,THREAT,T1_Phishing,Credential Theft,medium,synthetic,PayPal impersonation,train
UC1_005,"Hi, I noticed you applied for a loan with us. Please confirm your SSN to process your application: loans-verify.net",THREAT,T1_Phishing,Credential Theft,hard,synthetic,Conversational phishing — harder to detect,train
UC1_006,CHASE BANK ALERT: Card ending 4821 blocked. Unblock now: chase-card-restore.com,THREAT,T1_Phishing,Credential Theft,easy,synthetic,Bank brand impersonation,train
UC1_007,Google Account: Someone accessed your account from Russia. Secure it now at google-account-protect.net,THREAT,T1_Phishing,Credential Theft,medium,synthetic,Google impersonation with fear trigger,train
UC1_008,Your recent order has a delivery issue. Confirm your address and card details to reroute: delivery-confirm.co,THREAT,T1_Phishing,Credential Theft,hard,synthetic,Package delivery phishing — very common pattern,train
UC1_009,Microsoft: Your Office 365 subscription expired. Renew immediately to avoid data loss: ms365-renew.net,THREAT,T1_Phishing,Credential Theft,medium,synthetic,Enterprise software phishing,train
UC1_010,"Hi Sarah, this is Lisa from HR. We need to verify your direct deposit info. Please click: hr-portal-update.com",THREAT,T1_Phishing,Credential Theft,hard,synthetic,Spear phishing — personalised HR context,train
UC1_011,"IRS NOTICE: You owe $2,847 in unpaid taxes. Pay immediately or face arrest: irs-payment-portal.net",THREAT,T1_Phishing,Credential Theft,easy,synthetic,Government impersonation + arrest threat,train
UC1_012,Amazon: We could not verify your payment for your recent order. Update now: amazon-payment-help.com,THREAT,T1_Phishing,Credential Theft,medium,uci_augmented,Amazon impersonation — high volume pattern,train
UC1_013,Your Venmo payment of $250 to John failed. Verify your account to retry: venmo-verify.com,THREAT,T1_Phishing,Credential Theft,hard,synthetic,P2P payment phishing,train
UC1_014,USPS: Your package 9400111899223397319671 could not be delivered. Schedule redelivery: usps-redeliver.net,THREAT,T1_Phishing,Credential Theft,medium,synthetic,USPS impersonation with fake tracking number,train
UC1_015,Your health insurance claim was denied. Appeal within 48hrs by verifying at: insurance-appeal-portal.co,THREAT,T1_Phishing,Credential Theft,hard,synthetic,Healthcare phishing — high stakes context,train
UC1_016,WARNING: Your email password expires today. Click to keep access: emailsecure-update.com/reset,THREAT,T1_Phishing,Credential Theft,easy,synthetic,Email credential phishing,train
UC1_017,"Coinbase Alert: Withdrawal of 0.5 BTC initiated. If not you, cancel at coinbase-alert.net immediately.",THREAT,T1_Phishing,Credential Theft,medium,synthetic,Crypto exchange phishing — financial urgency,train
UC1_018,Your student loan forgiveness application is pending. Complete verification at studentloan-gov.net,THREAT,T1_Phishing,Credential Theft,hard,synthetic,Government benefit phishing — targets students,train
UC1_019,SECURITY ALERT: New device logged into your account. Not you? Secure now: account-protect-now.com,THREAT,T1_Phishing,Credential Theft,medium,synthetic,Generic security alert phishing,train
UC1_020,Congratulations! Your mortgage pre-approval is ready. Complete your application: mortgage-approve-now.net,THREAT,T1_Phishing,Credential Theft,hard,synthetic,Financial product phishing — positive framing,train
UC1_021,"Congratulations! You've won $5,000 in our weekly draw. Claim your prize at winner-claim.com within 24 hours!",THREAT,T2_Financial_Fraud,Fake Prize,easy,uci_augmented,Classic prize scam,train
UC1_022,You have a pending inheritance of $2.4M from a relative in Nigeria. Contact agent James at +1-555-0192.,THREAT,T2_Financial_Fraud,Advance Fee,easy,uci_augmented,Advance fee fraud — Nigerian prince variant,train
UC1_023,Your mobile number won the Walmart Customer Appreciation Award of $500. Collect: walmart-rewards.net,THREAT,T2_Financial_Fraud,Fake Prize,medium,synthetic,Retail brand fake prize,train
UC1_024,"Bitcoin investment opportunity: guaranteed 300% returns in 7 days. Join 10,000 investors: crypto-invest-pro.com",THREAT,T2_Financial_Fraud,Investment Scam,hard,synthetic,Crypto investment fraud,train
UC1_025,FREE iPhone 16 Pro! You were selected as today's lucky winner. Claim before midnight: free-iphone-win.com,THREAT,T2_Financial_Fraud,Fake Prize,medium,synthetic,Consumer electronics prize scam,train
UC1_026,"Your tax refund of $3,219 is ready. Pay a $25 processing fee to release funds: taxrefund-claim.net",THREAT,T2_Financial_Fraud,Advance Fee,medium,synthetic,Advance fee disguised as tax refund,train
UC1_027,"Hi, my name is Jennifer. I made $47,000 last month trading forex. I can show you how: fx-trading-mentor.com",THREAT,T2_Financial_Fraud,Investment Scam,hard,synthetic,Pig butchering scam — conversational opener,train
UC1_028,"You are the 1,000,000th visitor! Claim your $1,000 Amazon gift card now: amazongiftcard-claim.com",THREAT,T2_Financial_Fraud,Fake Prize,easy,uci_augmented,Milestone visitor prize scam,train
UC1_029,"Bad credit? Approved! Get $5,000 cash today. No check required. Pay $75 insurance: easyloans-now.net",THREAT,T2_Financial_Fraud,Loan Scam,medium,synthetic,Advance fee loan scam,train
