item_id,category,difficulty,split,invoice_text,vendor_name,invoice_date,invoice_number,total_amount,tax_amount,line_item_count
UC2_001,tech_services,easy,train,"INVOICE
Vendor: TechNova Solutions LLC
Invoice Number: TNS-20240815-001
Date: 2024-08-15

Services Rendered:
  - Cloud Infrastructure Setup    $3,200.00
  - Security Audit                $1,800.00

Subtotal: $5,000.00
Tax (8%): $400.00
Total Due: $5,400.00",TechNova Solutions LLC,2024-08-15,TNS-20240815-001,5400.0,400.0,2
UC2_002,tech_services,easy,train,"INVOICE
From: DataBridge Systems Inc.
Invoice #: DBS-2024-0042
Invoice Date: September 3, 2024

Description:
  1. Database Migration Services   $6,500.00
  2. Staff Training (2 days)        $2,000.00
  3. Documentation Package            $500.00

Tax: $720.00
Grand Total: $9,720.00",DataBridge Systems Inc.,2024-09-03,DBS-2024-0042,9720.0,720.0,3
UC2_003,tech_services,easy,train,"SALES INVOICE

Supplier: Apex IT Consultants
Invoice No: AIC-003871
Billing Date: 2024-11-01

Item: Annual Support Contract    $12,000.00

Sales Tax: $960.00
Total Amount Due: $12,960.00",Apex IT Consultants,2024-11-01,AIC-003871,12960.0,960.0,1
UC2_004,tech_services,medium,train,"Invoice from CloudMatrix Corp | Ref: CMX/INV/2025/0291
Issued: January 15th, 2025

Deliverables:
  API Integration Work (Phase 1)   $4,100
  API Integration Work (Phase 2)   $3,900
  QA & Testing                     $1,200
  Project Management               $800

All amounts exclusive of applicable taxes.
Total (incl. 7.5% state tax): $10,750.00",CloudMatrix Corp,2025-01-15,CMX/INV/2025/0291,10750.0,750.0,4
UC2_005,tech_services,medium,train,"BILLING STATEMENT
Tech Horizon Group | TX-H-20241203
Date of Issue: 03-Dec-2024

Services:
  Managed Detection & Response (MDR) — 3 months    $8,400.00
  Penetration Test Report                           $2,500.00

Subtotal before tax: $10,900.00
Taxes and fees included in final amount.
TOTAL: $11,854.50",Tech Horizon Group,2024-12-03,TX-H-20241203,11854.5,954.5,2
UC2_006,tech_services,medium,train,"INVOICE — Nexus Software Engineering
Invoice Reference: NSE-2025-Q1-014
Billing period end date: March 31, 2025

Monthly retainer: $5,000.00 × 3 months = $15,000.00
Emergency on-call incidents (2): $750.00

GST/HST (13%): $2,047.50
Net payable: $17,797.50",Nexus Software Engineering,2025-03-31,NSE-2025-Q1-014,17797.5,2047.5,2
UC2_007,tech_services,medium,train,"Vantage Systems | Invoice
Client PO: PO-88821
Invoice: VSI-88821-R2
Date: Feb 7 2025

Work items (revised per change order):
  Core dev work        $11,200.00
  Change order #1      +$2,000.00
  Discount applied     -$500.00

Tax (8.25%): $1,051.50
Total: $13,751.50",Vantage Systems,2025-02-07,VSI-88821-R2,13751.5,1051.5,3
UC2_008,tech_services,hard,train,"INV# IT-SRV-25-0087 | Meridian Tech Partners
Billing cycle: Q4 FY25 (Oct–Dec)

Stmt rendered: 31-Dec-25

Hrs   Description                          Rate     Ext.
120   Sr. Architect (J. Patel)           $185/hr  $22,200
 80   DevOps Eng. (contract)             $140/hr  $11,200
 40   Jr. Developer                       $95/hr   $3,800
 20   PM oversight                       $160/hr   $3,200

Travel & expenses (receipts attached):   $1,340.00
Withholding adj:                          -$200.00
Applicable sales tax:                   $3,303.20
TOTAL DUE:                             $44,843.20",Meridian Tech Partners,2025-12-31,IT-SRV-25-0087,44843.2,3303.2,6
UC2_009,tech_services,hard,train,"INVOICE — Pinnacle Digital Inc. | PDI-FY2025-0441
Originated: Q3-end (see attached SOW ref #SOW-882)
Note: This invoice supersedes draft PDI-FY2025-0441-D

Module A: UI/UX Redesign         $18,500
Module B: Backend Refactor       $22,000
Module C: CI/CD Pipeline          $9,500
Licensing (annual):               $4,200
Volume discount (-5%):           -$2,710

VAT @ 20%:                       $10,298
Total payable (GBP equivalent shown in addendum): $61,788.00",Pinnacle Digital Inc.,,PDI-FY2025-0441,61788.0,10298.0,5
UC2_010,office_supplies,easy,train,"INVOICE
Vendor: OfficeWorld Direct
Invoice: OWD-24-5521
Date: 2024-07-10

  Laser Paper (10 reams)        $89.90
  Ballpoint Pens (box of 50)    $24.99
  Sticky Notes (24-pack)        $18.50

Tax: $10.68
Total: $144.07",OfficeWorld Direct,2024-07-10,OWD-24-5521,144.07,10.68,3
