model,tier,params,item_id,category,difficulty,gold_label,seed,raw_output,pred_label,is_valid,is_correct,latency_ms
Llama-3.2-3B,SLM,3B,uc6_test_001,neurological,hard,CRITICAL,42,CRITICAL,CRITICAL,True,True,9158
Llama-3.2-3B,SLM,3B,uc6_test_001,neurological,hard,CRITICAL,43,CRITICAL,CRITICAL,True,True,251
Llama-3.2-3B,SLM,3B,uc6_test_001,neurological,hard,CRITICAL,44,CRITICAL,CRITICAL,True,True,226
Llama-3.2-3B,SLM,3B,uc6_test_002,sepsis_infection,medium,CRITICAL,42,CRITICAL,CRITICAL,True,True,1037
Llama-3.2-3B,SLM,3B,uc6_test_002,sepsis_infection,medium,CRITICAL,43,CRITICAL,CRITICAL,True,True,178
Llama-3.2-3B,SLM,3B,uc6_test_002,sepsis_infection,medium,CRITICAL,44,CRITICAL,CRITICAL,True,True,185
Llama-3.2-3B,SLM,3B,uc6_test_003,neurological,medium,CRITICAL,42,CRITICAL,CRITICAL,True,True,902
Llama-3.2-3B,SLM,3B,uc6_test_003,neurological,medium,CRITICAL,43,CRITICAL,CRITICAL,True,True,176
Llama-3.2-3B,SLM,3B,uc6_test_003,neurological,medium,CRITICAL,44,CRITICAL,CRITICAL,True,True,199
Llama-3.2-3B,SLM,3B,uc6_test_004,neurological,easy,CRITICAL,42,CRITICAL,CRITICAL,True,True,983
Llama-3.2-3B,SLM,3B,uc6_test_004,neurological,easy,CRITICAL,43,CRITICAL,CRITICAL,True,True,175
Llama-3.2-3B,SLM,3B,uc6_test_004,neurological,easy,CRITICAL,44,CRITICAL,CRITICAL,True,True,180
Llama-3.2-3B,SLM,3B,uc6_test_005,neurological,medium,URGENT,42,CRITICAL,CRITICAL,True,False,893
Llama-3.2-3B,SLM,3B,uc6_test_005,neurological,medium,URGENT,43,CRITICAL,CRITICAL,True,False,189
Llama-3.2-3B,SLM,3B,uc6_test_005,neurological,medium,URGENT,44,CRITICAL,CRITICAL,True,False,186
Llama-3.2-3B,SLM,3B,uc6_test_006,trauma,easy,URGENT,42,CRITICAL,CRITICAL,True,False,991
Llama-3.2-3B,SLM,3B,uc6_test_006,trauma,easy,URGENT,43,CRITICAL,CRITICAL,True,False,170
Llama-3.2-3B,SLM,3B,uc6_test_006,trauma,easy,URGENT,44,CRITICAL,CRITICAL,True,False,209
Llama-3.2-3B,SLM,3B,uc6_test_007,sepsis_infection,easy,URGENT,42,CRITICAL,CRITICAL,True,False,1004
Llama-3.2-3B,SLM,3B,uc6_test_007,sepsis_infection,easy,URGENT,43,CRITICAL,CRITICAL,True,False,170
Llama-3.2-3B,SLM,3B,uc6_test_007,sepsis_infection,easy,URGENT,44,CRITICAL,CRITICAL,True,False,178
Llama-3.2-3B,SLM,3B,uc6_test_008,respiratory,medium,URGENT,42,CRITICAL,CRITICAL,True,False,968
Llama-3.2-3B,SLM,3B,uc6_test_008,respiratory,medium,URGENT,43,CRITICAL,CRITICAL,True,False,171
Llama-3.2-3B,SLM,3B,uc6_test_008,respiratory,medium,URGENT,44,CRITICAL,CRITICAL,True,False,182
Llama-3.2-3B,SLM,3B,uc6_test_009,trauma,medium,URGENT,42,CRITICAL,CRITICAL,True,False,1001
Llama-3.2-3B,SLM,3B,uc6_test_009,trauma,medium,URGENT,43,CRITICAL,CRITICAL,True,False,175
Llama-3.2-3B,SLM,3B,uc6_test_009,trauma,medium,URGENT,44,CRITICAL,CRITICAL,True,False,184
Llama-3.2-3B,SLM,3B,uc6_test_010,respiratory,medium,URGENT,42,URGENT,URGENT,True,True,1089
Llama-3.2-3B,SLM,3B,uc6_test_010,respiratory,medium,URGENT,43,URGENT,URGENT,True,True,197
Llama-3.2-3B,SLM,3B,uc6_test_010,respiratory,medium,URGENT,44,URGENT,URGENT,True,True,218
Llama-3.2-3B,SLM,3B,uc6_test_011,sepsis_infection,medium,URGENT,42,CRITICAL,CRITICAL,True,False,989
Llama-3.2-3B,SLM,3B,uc6_test_011,sepsis_infection,medium,URGENT,43,CRITICAL,CRITICAL,True,False,172
Llama-3.2-3B,SLM,3B,uc6_test_011,sepsis_infection,medium,URGENT,44,CRITICAL,CRITICAL,True,False,180
Llama-3.2-3B,SLM,3B,uc6_test_012,sepsis_infection,hard,URGENT,42,CRITICAL,CRITICAL,True,False,982
Llama-3.2-3B,SLM,3B,uc6_test_012,sepsis_infection,hard,URGENT,43,CRITICAL,CRITICAL,True,False,174
Llama-3.2-3B,SLM,3B,uc6_test_012,sepsis_infection,hard,URGENT,44,CRITICAL,CRITICAL,True,False,179
Llama-3.2-3B,SLM,3B,uc6_test_013,respiratory,hard,URGENT,42,CRITICAL,CRITICAL,True,False,973
Llama-3.2-3B,SLM,3B,uc6_test_013,respiratory,hard,URGENT,43,CRITICAL,CRITICAL,True,False,175
Llama-3.2-3B,SLM,3B,uc6_test_013,respiratory,hard,URGENT,44,CRITICAL,CRITICAL,True,False,180
Llama-3.2-3B,SLM,3B,uc6_test_014,cardiac,medium,URGENT,42,CRITICAL,CRITICAL,True,False,922
Llama-3.2-3B,SLM,3B,uc6_test_014,cardiac,medium,URGENT,43,CRITICAL,CRITICAL,True,False,176
Llama-3.2-3B,SLM,3B,uc6_test_014,cardiac,medium,URGENT,44,CRITICAL,CRITICAL,True,False,186
Llama-3.2-3B,SLM,3B,uc6_test_015,sepsis_infection,medium,URGENT,42,CRITICAL,CRITICAL,True,False,994
Llama-3.2-3B,SLM,3B,uc6_test_015,sepsis_infection,medium,URGENT,43,CRITICAL,CRITICAL,True,False,173
Llama-3.2-3B,SLM,3B,uc6_test_015,sepsis_infection,medium,URGENT,44,CRITICAL,CRITICAL,True,False,184
Llama-3.2-3B,SLM,3B,uc6_test_016,neurological,easy,SEMIURGENT,42,SEMIURGENT,SEMIURGENT,True,True,1042
Llama-3.2-3B,SLM,3B,uc6_test_016,neurological,easy,SEMIURGENT,43,SEMIURGENT,SEMIURGENT,True,True,253
Llama-3.2-3B,SLM,3B,uc6_test_016,neurological,easy,SEMIURGENT,44,SEMIURGENT,SEMIURGENT,True,True,310
Llama-3.2-3B,SLM,3B,uc6_test_017,neurological,easy,SEMIURGENT,42,SEMIURGENT,SEMIURGENT,True,True,989
Llama-3.2-3B,SLM,3B,uc6_test_017,neurological,easy,SEMIURGENT,43,SEMIURGENT,SEMIURGENT,True,True,262
Llama-3.2-3B,SLM,3B,uc6_test_017,neurological,easy,SEMIURGENT,44,SEMIURGENT,SEMIURGENT,True,True,258
Llama-3.2-3B,SLM,3B,uc6_test_018,respiratory,medium,SEMIURGENT,42,CRITICAL,CRITICAL,True,False,981
Llama-3.2-3B,SLM,3B,uc6_test_018,respiratory,medium,SEMIURGENT,43,URGENT,URGENT,True,False,197
Llama-3.2-3B,SLM,3B,uc6_test_018,respiratory,medium,SEMIURGENT,44,URGENT,URGENT,True,False,213
Llama-3.2-3B,SLM,3B,uc6_test_019,cardiac,easy,SEMIURGENT,42,SEMIURGENT,SEMIURGENT,True,True,1047
Llama-3.2-3B,SLM,3B,uc6_test_019,cardiac,easy,SEMIURGENT,43,SEMIURGENT,SEMIURGENT,True,True,260
