model_name,tier,params,overall_avg,parity_ratio,parity_met,sector,sector_avg,latency_p50_ms,latency_p95_ms,latency_below_llm_p95
Llama-3.3-70B,LLM,70B,80.6,1.000,True,Technology,95.9,1330,1520,False
Llama-3.3-70B,LLM,70B,80.6,1.000,True,Retail,85.4,1330,1520,False
Llama-3.3-70B,LLM,70B,80.6,1.000,True,Healthcare,72.9,1330,1520,False
Llama-3.3-70B,LLM,70B,80.6,1.000,True,Manufacturing,77.5,1330,1520,False
Llama-3.3-70B,LLM,70B,80.6,1.000,True,Financial,68.8,1330,1520,False
Llama-3.2-3B,SLM,3B,72.3,0.897,False,Technology,61.5,9055,11802,False
Llama-3.2-3B,SLM,3B,72.3,0.897,False,Retail,69.8,9055,11802,False
Llama-3.2-3B,SLM,3B,72.3,0.897,False,Healthcare,67.7,9055,11802,False
Llama-3.2-3B,SLM,3B,72.3,0.897,False,Manufacturing,81.2,9055,11802,False
Llama-3.2-3B,SLM,3B,72.3,0.897,False,Financial,81.3,9055,11802,False
Phi4-Mini,SLM,3.8B,51.7,0.641,False,Technology,50.0,13474,18392,False
Phi4-Mini,SLM,3.8B,51.7,0.641,False,Retail,58.3,13474,18392,False
Phi4-Mini,SLM,3.8B,51.7,0.641,False,Healthcare,50.0,13474,18392,False
Phi4-Mini,SLM,3.8B,51.7,0.641,False,Manufacturing,50.0,13474,18392,False
Phi4-Mini,SLM,3.8B,51.7,0.641,False,Financial,50.0,13474,18392,False
Gemma3-4B,SLM,4B,51.5,0.639,False,Technology,50.0,8810,10551,False
Gemma3-4B,SLM,4B,51.5,0.639,False,Retail,57.3,8810,10551,False
Gemma3-4B,SLM,4B,51.5,0.639,False,Healthcare,50.0,8810,10551,False
Gemma3-4B,SLM,4B,51.5,0.639,False,Manufacturing,50.0,8810,10551,False
Gemma3-4B,SLM,4B,51.5,0.639,False,Financial,50.0,8810,10551,False
Qwen2.5-7B,SLM,7B,51.7,0.641,False,Technology,50.0,13439,16460,False
Qwen2.5-7B,SLM,7B,51.7,0.641,False,Retail,58.3,13439,16460,False
Qwen2.5-7B,SLM,7B,51.7,0.641,False,Healthcare,50.0,13439,16460,False
Qwen2.5-7B,SLM,7B,51.7,0.641,False,Manufacturing,50.0,13439,16460,False
Qwen2.5-7B,SLM,7B,51.7,0.641,False,Financial,50.0,13439,16460,False
Mistral-7B,SLM,7B,50.0,0.620,False,Technology,50.0,17045,20654,False
Mistral-7B,SLM,7B,50.0,0.620,False,Retail,50.0,17045,20654,False
Mistral-7B,SLM,7B,50.0,0.620,False,Healthcare,50.0,17045,20654,False
Mistral-7B,SLM,7B,50.0,0.620,False,Manufacturing,50.0,17045,20654,False
Mistral-7B,SLM,7B,50.0,0.620,False,Financial,50.0,17045,20654,False
Llama-3.1-8B,SLM,8B,50.0,0.620,False,Technology,50.0,19793,25680,False
Llama-3.1-8B,SLM,8B,50.0,0.620,False,Retail,50.0,19793,25680,False
Llama-3.1-8B,SLM,8B,50.0,0.620,False,Healthcare,50.0,19793,25680,False
Llama-3.1-8B,SLM,8B,50.0,0.620,False,Manufacturing,50.0,19793,25680,False
Llama-3.1-8B,SLM,8B,50.0,0.620,False,Financial,50.0,19793,25680,False
