id,text,label,category,subcategory,difficulty,source,notes,split
UC7_001,"The Receiving Party shall indemnify, defend, and hold harmless the Disclosing Party and its affiliates, officers, directors, employees, and agents from and against any and all claims, damages, losses, liabilities, costs, and expenses (including reasonable attorneys' fees) arising out of or in connection with this Agreement, without limitation as to amount or duration.",HIGH_RISK,Indemnification,Unlimited Indemnity,easy,synthetic,"Classic unlimited indemnification — no cap, no carve-outs",train
UC7_002,"Vendor shall indemnify and hold harmless Client against all losses, claims, damages, and expenses of any kind whatsoever, including but not limited to consequential, incidental, special, and punitive damages, arising from any act or omission of Vendor, its employees, subcontractors, or agents, whether or not such act or omission constitutes negligence.",HIGH_RISK,Indemnification,Broad Scope Indemnity,easy,synthetic,Indemnification regardless of fault — extremely broad,train
UC7_003,"Service Provider agrees to indemnify Client for any third-party claims related to the Services, including claims arising from Client's own specifications, instructions, or materials. Client shall have no reciprocal indemnification obligations under this Agreement.",HIGH_RISK,Indemnification,Asymmetric Indemnity,medium,synthetic,One-sided indemnity covering Client's own actions — hidden asymmetry,train
UC7_004,"Licensor shall indemnify, defend, and hold Licensee harmless from any intellectual property infringement claim, including patent, copyright, trade secret, and trademark claims, and shall pay all damages, settlements, costs, and attorneys' fees without any aggregate cap on Licensor's indemnification obligations.",HIGH_RISK,Indemnification,IP Indemnity Unlimited,medium,synthetic,Uncapped IP indemnity — can be ruinous for licensor,train
UC7_005,"Each party shall indemnify the other for third-party claims arising from its breach. Notwithstanding the foregoing, Provider additionally agrees to indemnify Client for any regulatory fines, penalties, or enforcement actions imposed on Client that are in any way related to the Services, regardless of whether Provider was aware of the applicable regulatory requirements.",HIGH_RISK,Indemnification,Hidden Obligation,hard,synthetic,Appears mutual but buries asymmetric regulatory indemnity in second sentence,train
UC7_006,"Neither party's liability under this Agreement shall be limited in any way. Each party shall be liable for all direct, indirect, incidental, special, consequential, and punitive damages arising out of or related to this Agreement, regardless of the form of action or theory of liability.",HIGH_RISK,Liability,Unlimited Liability,easy,synthetic,Explicitly unlimited liability for all damage types,train
UC7_007,"Notwithstanding any other provision of this Agreement, neither party excludes or limits its liability for indirect, consequential, or special damages, including but not limited to loss of profits, loss of revenue, loss of data, and loss of business opportunity. The limitations set forth in Section 9.1 shall not apply to claims under this Section.",HIGH_RISK,Liability,Uncapped Consequential,medium,synthetic,Carves out consequential damages from any cap — high exposure,train
UC7_008,"Supplier's aggregate liability for all claims under this Agreement shall not exceed the fees paid in the twelve (12) months preceding the claim. Client's liability shall not be subject to any limitation or exclusion, and Client acknowledges that Supplier's potential damages are not reasonably foreseeable and may substantially exceed the contract value.",HIGH_RISK,Liability,Asymmetric Liability,hard,synthetic,Supplier capped but Client uncapped — asymmetry buried in reasonable-looking clause,train
UC7_009,"Contractor assumes full liability for any harm, loss, or damage arising in connection with the performance of the Work, including harm caused by the acts or omissions of Owner, Owner's employees, or third parties present at the worksite. Contractor waives any right of contribution or subrogation against Owner.",HIGH_RISK,Liability,Broad Liability Assumption,hard,synthetic,Assumes liability for counterparty's acts plus waives contribution rights,train
UC7_010,"In the event of breach, the non-breaching party shall be entitled to recover all damages, including consequential damages, lost profits, diminution in value, and cost of replacement services. The parties agree that such damages are foreseeable as of the Effective Date and are not speculative.",HIGH_RISK,Liability,Consequential Damages Inclusion,medium,synthetic,Pre-agrees consequential damages are foreseeable — eliminates key defense,train
UC7_011,"Client may terminate this Agreement at any time, for any reason or no reason, upon written notice to Provider. Upon such termination, Provider shall immediately cease all work and shall not be entitled to any compensation for work in progress or any termination fee.",HIGH_RISK,Termination,Unilateral At-Will,easy,synthetic,Unilateral termination with no compensation for work in progress,train
UC7_012,"Either party may terminate this Agreement for convenience upon thirty (30) days' written notice. Upon termination by Client, all prepaid fees are non-refundable and Provider shall invoice Client for the remaining balance of the minimum commitment period.",HIGH_RISK,Termination,Termination for Convenience,medium,synthetic,Appears mutual but accelerates full contract payment on Client termination,train
UC7_013,"This Agreement shall automatically renew for successive one (1) year terms unless either party provides written notice of non-renewal at least one hundred eighty (180) days prior to the end of the then-current term. Upon any early termination, Client shall pay an early termination fee equal to one hundred percent (100%) of the fees remaining in the then-current term.",HIGH_RISK,Termination,Auto-Renewal Lock-In,hard,synthetic,180-day notice with 100% remaining fees — effectively a lock-in,train
UC7_014,"Licensor may immediately terminate this Agreement if Licensee (a) undergoes a change of control, (b) assigns any rights hereunder, (c) experiences a material adverse change in its financial condition, or (d) in Licensor's sole and reasonable judgment, engages in conduct detrimental to Licensor's brand or reputation. Upon termination, all licenses granted herein shall immediately cease.",HIGH_RISK,Termination,Broad Termination Trigger,hard,synthetic,Subjective termination triggers — 'sole judgment' on brand detriment,train
