model_name,tier,params,item_id,sector,difficulty,seed,d1_accuracy,d2_depth,d3_tone,d4_completeness,composite_raw,composite_pct,latency_ms,judge_rationale
Llama-3.3-70B,LLM,70B,UC8_001,Technology,easy,42,5,5,5,5,5.00,100.0,1196,"The summary accurately cites all key figures with appropriate context, provides in-depth analysis of the company's performance, maintains a professional tone throughout, and addresses all gold-checkli"
Llama-3.3-70B,LLM,70B,UC8_002,Technology,easy,42,5,5,5,5,5.00,100.0,1200,"The summary accurately reports all key financial figures and provides in-depth analysis of the company's performance, including trends and drivers, while maintaining a professional tone throughout and"
Llama-3.3-70B,LLM,70B,UC8_008,Technology,medium,42,5,4,5,5,4.75,93.8,1207,"The summary accurately reports all key financial figures and provides some analysis of the trends and drivers, while maintaining a professional tone throughout and covering all gold-checklist criteria"
Llama-3.3-70B,LLM,70B,UC8_009,Technology,medium,42,4,5,5,5,4.75,93.8,1243,"The summary accurately reports key financial figures, provides in-depth analysis of the company's performance, and maintains a professional tone throughout, covering all gold-checklist criteria except"
Llama-3.3-70B,LLM,70B,UC8_015,Technology,hard,42,5,4,5,5,4.75,93.8,1390,"The summary accurately reports all key financial figures and addresses all gold-checklist criteria, providing a clear and professional overview of the company's performance. It also offers some analys"
Llama-3.3-70B,LLM,70B,UC8_016,Technology,hard,42,5,4,5,5,4.75,93.8,1460,"The summary accurately reports all key financial figures and provides some analysis of the company's growth prospects and challenges, while maintaining a professional tone throughout."
Llama-3.3-70B,LLM,70B,UC8_021,Retail,easy,42,5,5,5,5,5.00,100.0,1235,"The summary accurately cites all key figures with appropriate context, provides in-depth analysis of the company's performance, maintains a professional tone throughout, and addresses all gold-checkli"
Llama-3.3-70B,LLM,70B,UC8_022,Retail,easy,42,5,5,5,5,5.00,100.0,1470,"The summary accurately cites all key figures, provides in-depth analysis of trends and drivers, maintains a professional tone, and covers all gold-checklist criteria, demonstrating a high-quality summ"
Llama-3.3-70B,LLM,70B,UC8_028,Retail,medium,42,4,4,5,4,4.25,81.2,1371,"The summary accurately reports most key figures, provides some analysis beyond the numbers, and maintains a professional tone throughout, but contains a minor error in EPS and does not fully address a"
Llama-3.3-70B,LLM,70B,UC8_029,Retail,medium,42,5,4,5,4,4.50,87.5,1385,"The summary accurately reports all key financial figures and provides some analysis of trends and drivers, but misses the 14% increase in average order value due to the new loyalty tier launch. The to"
