id,text,label,category,difficulty,source,notes,split
UC4_001,"Absolutely love this laptop. Fast, lightweight, and the battery lasts all day. Best purchase I have made this year.",POSITIVE,Electronics,easy,synthetic,"Clear positive, multiple praise signals",train
UC4_002,"The headphones arrived quickly and sound incredible. Deep bass, clear highs. Totally worth the price.",POSITIVE,Electronics,easy,synthetic,Unambiguous positive,train
UC4_003,Setup took a while but once it was running the smart TV is fantastic. Picture quality is stunning.,POSITIVE,Electronics,medium,synthetic,Minor negative (setup time) but overall positive,train
UC4_004,A bit pricier than alternatives but the build quality is exceptional. You get what you pay for.,POSITIVE,Electronics,medium,synthetic,Price acknowledgment but positive conclusion,train
UC4_005,Not the cheapest option and the manual is terrible but honestly this camera takes photos that make me look like a professional.,POSITIVE,Electronics,hard,synthetic,Two negatives before strong positive — hard to classify,train
UC4_006,"Five stars. This keyboard is a dream to type on. Clicky, responsive, and looks great on my desk.",POSITIVE,Electronics,easy,synthetic,Explicit five stars,train
UC4_007,I was sceptical at first but this wireless charger works perfectly with my phone. No more fumbling with cables at night.,POSITIVE,Electronics,medium,synthetic,Initial scepticism resolved positively,train
UC4_008,The fan is louder than I expected and it runs warm under load but for the price this gaming laptop outperforms everything else I tested.,POSITIVE,Electronics,hard,synthetic,Specific complaints but clear positive verdict,train
UC4_009,"Perfect fit, beautiful colour, and the fabric feels luxurious. I already ordered two more in different colours.",POSITIVE,Clothing,easy,synthetic,Clear positive with repeat purchase signal,train
UC4_010,"These jeans are exactly as described. Comfortable, well-made, and look exactly like the photos.",POSITIVE,Clothing,easy,synthetic,Simple positive confirmation,train
UC4_011,Runs slightly small so I exchanged for the next size up. The replacement fits perfectly and I love the style.,POSITIVE,Clothing,medium,synthetic,"Size issue resolved, positive overall",train
UC4_012,The colour is slightly darker than the website image but the quality is outstanding. Very happy with this.,POSITIVE,Clothing,medium,synthetic,"Minor colour discrepancy, positive verdict",train
