id,text,label,category,subcategory,difficulty,source,notes,split
UC5_001,"def get_user(name):
    query = ""SELECT * FROM users WHERE name = '"" + name + ""'""
    return db.execute(query)",SECURITY,SEC_Injection,SQL Injection,easy,synthetic,Classic SQL injection via string concatenation — Python,train
UC5_002,"app.get('/user', (req, res) => {
    const q = `SELECT * FROM users WHERE id = ${req.query.id}`;
    db.query(q, (err, rows) => res.json(rows));
});",SECURITY,SEC_Injection,SQL Injection,easy,synthetic,SQL injection via template literal — Node.js,train
UC5_003,"def ping_host(host):
    import os
    os.system('ping -c 1 ' + host)",SECURITY,SEC_Injection,Command Injection,easy,synthetic,OS command injection via os.system — Python,train
UC5_004,"AWS_SECRET_KEY = 'wJalrXUtnFEMI/K7MDENG/bPxRfiCYEXAMPLEKEY'
s3 = boto3.client('s3', aws_secret_access_key=AWS_SECRET_KEY)",SECURITY,SEC_Secrets,Hardcoded Secret,easy,synthetic,Hardcoded AWS secret key — Python,train
UC5_005,"app.get('/search', (req, res) => {
    res.send(`<h1>Results for: ${req.query.q}</h1>`);
});",SECURITY,SEC_XSS,Reflected XSS,easy,synthetic,Reflected XSS — unsanitized query param rendered in HTML — Node.js,train
UC5_006,"def calculate(expression):
    return eval(expression)",SECURITY,SEC_Injection,Code Injection,easy,synthetic,Arbitrary code execution via eval on user input — Python,train
UC5_007,"const jwt = require('jsonwebtoken');
const token = jwt.sign(payload, 'my-super-secret-key-123');",SECURITY,SEC_Secrets,Hardcoded Secret,easy,synthetic,Hardcoded JWT signing secret — Node.js,train
UC5_008,"def is_admin(request):
    return request.cookies.get('is_admin') == 'true'",SECURITY,SEC_Auth,Auth Bypass,medium,synthetic,Auth bypass — trusting client-side cookie for admin check — Python,train
UC5_009,"String query = ""SELECT * FROM orders WHERE status = '"" + status
    + ""' AND user_id = "" + userId;
Statement stmt = conn.createStatement();
ResultSet rs = stmt.executeQuery(query);",SECURITY,SEC_Injection,SQL Injection,medium,synthetic,SQL injection via Statement instead of PreparedStatement — Java,train
UC5_010,"function Comment({ text }) {
    return <div dangerouslySetInnerHTML={{ __html: text }} />;
}",SECURITY,SEC_XSS,Stored XSS,medium,synthetic,Stored XSS via dangerouslySetInnerHTML with user content — React,train
