id,text,label,category,subcategory,difficulty,source,notes,split
UC3_001,I was charged twice for the same order. Please refund the duplicate charge.,BILLING,BILLING,Overcharge,easy,synthetic,Clear double-charge complaint — strong billing signal,train
UC3_002,My invoice shows the wrong tax amount. The rate applied does not match my state.,BILLING,BILLING,Invoice,easy,synthetic,Invoice error — clear billing keyword,train
UC3_003,I need a copy of last month's invoice for my expense report.,BILLING,BILLING,Invoice,easy,synthetic,Invoice request — unambiguous,train
UC3_004,I upgraded my plan two weeks ago but I am still being charged the old price.,BILLING,BILLING,Subscription,medium,synthetic,"Plan upgrade billing issue — medium, mentions plan change",train
UC3_005,I cancelled my subscription last month but was still charged this billing cycle.,BILLING,BILLING,Subscription,medium,synthetic,Post-cancellation charge — subscription keyword present,train
UC3_006,The discount code I applied at checkout did not appear on my final invoice.,BILLING,BILLING,Discount,medium,synthetic,Discount not reflected — billing + discount keywords,train
UC3_007,I signed up for monthly billing but I was charged the full annual price upfront.,BILLING,BILLING,Subscription,medium,synthetic,Billing cycle mismatch — clear billing intent,train
UC3_008,I need to update my credit card before the next billing cycle on the 15th.,BILLING,BILLING,Payment_Method,medium,synthetic,"Payment method update — medium, could seem like ACCOUNT",train
UC3_009,My company needs an official receipt with our tax ID number for reimbursement purposes.,BILLING,BILLING,Invoice,easy,synthetic,Receipt/invoice request — clear billing need,train
UC3_010,I would like to switch from monthly to annual billing to take advantage of the discount.,BILLING,BILLING,Subscription,medium,synthetic,Billing frequency change — subscription + billing keywords,train
UC3_011,The invoice I received has the wrong company name and address. It needs to be corrected.,BILLING,BILLING,Invoice,easy,synthetic,Invoice correction — clear billing,train
UC3_012,I was overcharged for an item that was marked as on sale on your website.,BILLING,BILLING,Overcharge,easy,synthetic,Overcharge on sale item — clear billing,train
UC3_013,I see an unrecognized charge of $29.99 on my account this month.,BILLING,BILLING,Overcharge,easy,synthetic,TEST — unrecognized charge — clear billing signal,test
UC3_014,I need to set up automatic payments so I never miss my monthly due date.,BILLING,BILLING,Payment_Method,easy,synthetic,TEST — auto-pay setup — easy billing,test
UC3_015,The promotional coupon I received by email is not being accepted at checkout.,BILLING,BILLING,Discount,medium,synthetic,"TEST — coupon not working — medium, discount + checkout",test
UC3_016,My payment failed but the charge still appears on my bank statement.,BILLING,BILLING,Payment_Method,medium,synthetic,TEST — payment failure with bank charge — medium billing,test
UC3_017,I upgraded mid-month. How is the prorated charge calculated and when will I see it?,BILLING,BILLING,Subscription,hard,synthetic,"TEST — prorated billing inquiry — hard, requires billing domain knowledge",test
UC3_018,The app crashes every time I try to upload a file larger than 10MB.,TECHNICAL,TECHNICAL,App_Crash,easy,synthetic,App crash — clear technical bug,train
UC3_019,The search function is returning no results even when I type exact matches.,TECHNICAL,TECHNICAL,Feature_Bug,easy,synthetic,Feature not working — clear technical,train
UC3_020,My data export keeps failing. I get error code 500 every time I try.,TECHNICAL,TECHNICAL,Feature_Bug,easy,synthetic,Error code failure — clear technical,train
UC3_021,The mobile app is not syncing properly with the desktop version. My changes are not showing up.,TECHNICAL,TECHNICAL,Sync_Issue,medium,synthetic,"Sync failure — technical, medium complexity",train
UC3_022,I am getting an SSL certificate error when I try to access the dashboard.,TECHNICAL,TECHNICAL,Feature_Bug,medium,synthetic,"SSL error — technical, medium",train
UC3_023,Videos will not play on my account. I just see a spinning loading icon.,TECHNICAL,TECHNICAL,Feature_Bug,easy,synthetic,Playback failure — clear technical,train
UC3_024,The platform is running extremely slowly today. Every page takes over 30 seconds to load.,TECHNICAL,TECHNICAL,Performance,easy,synthetic,Performance issue — clear technical,train
UC3_025,"After installing your latest update, all my saved preferences and settings were reset.",TECHNICAL,TECHNICAL,Feature_Bug,medium,synthetic,"Post-update data loss — technical, medium",train
UC3_026,I keep getting logged out of the app automatically every few minutes.,TECHNICAL,TECHNICAL,App_Crash,medium,synthetic,"Auto-logout bug — medium, could seem like ACCOUNT but is a bug",train
UC3_027,The PDF export is cutting off the last page of every document I try to download.,TECHNICAL,TECHNICAL,Feature_Bug,medium,synthetic,Export bug — clear technical,train
UC3_028,The dashboard is not updating in real time. The data appears to be frozen.,TECHNICAL,TECHNICAL,Feature_Bug,easy,synthetic,Real-time update failure — clear technical,train
UC3_029,Dark mode is broken. The text is invisible in several areas of the interface.,TECHNICAL,TECHNICAL,Feature_Bug,easy,synthetic,UI rendering bug — clear technical,train
UC3_030,The screen shows a blank white page for every member of my team since this morning.,TECHNICAL,TECHNICAL,Feature_Bug,easy,synthetic,TEST — blank screen bug — clear technical,test
UC3_031,I keep getting a permission denied error when I try to open a shared folder.,TECHNICAL,TECHNICAL,Feature_Bug,easy,synthetic,"TEST — permission error — easy technical, not ACCOUNT",test
UC3_032,The integration with Slack stopped sending notifications yesterday after working fine for months.,TECHNICAL,TECHNICAL,Integration,medium,synthetic,TEST — integration failure — medium technical,test
UC3_033,I am unable to install the software on Windows 11. The installer fails at the last step.,TECHNICAL,TECHNICAL,Feature_Bug,medium,synthetic,TEST — install failure — medium technical,test
UC3_034,The API endpoint we rely on stopped returning data after your deployment last night.,TECHNICAL,TECHNICAL,Integration,hard,synthetic,"TEST — API breakage — hard, developer-facing technical issue",test
UC3_035,I forgot my password and the password reset email is not arriving in my inbox.,ACCOUNT,ACCOUNT,Password_Reset,easy,synthetic,Password reset — clear account,train
UC3_036,I need to update the email address on my account to a new one.,ACCOUNT,ACCOUNT,Profile_Update,easy,synthetic,Email update — clear account,train
UC3_037,My account has been locked after several failed login attempts. Please unlock it.,ACCOUNT,ACCOUNT,Access_Control,easy,synthetic,Account locked — clear account,train
UC3_038,I need to add three new team members to my organization account.,ACCOUNT,ACCOUNT,Team_Management,medium,synthetic,Team member addition — account management,train
UC3_039,I would like to permanently delete my account and remove all my data.,ACCOUNT,ACCOUNT,Profile_Update,medium,synthetic,Account deletion — clear account action,train
