item_id,category,difficulty,seed,raw_output,latency_ms,json_valid,parse_note,pred_vendor_name,correct_vendor_name,pred_invoice_date,correct_invoice_date,pred_invoice_number,correct_invoice_number,pred_total_amount,correct_total_amount,pred_tax_amount,correct_tax_amount,pred_line_item_count,correct_line_item_count,fields_correct,model,tier,params
UC2_060,software_saas,hard,42,"{
  ""vendor_name"": ""Oracle Cloud"",
  ""invoice_date"": ""2025-03-31"",
  ""invoice_number"": ""OCI-ENT-25-009"",
  ""total_amount"": 84000.0,
  ""tax_amount"": 6720.0,
  ""line_item_count"": null
}",3536,True,clean,Oracle Cloud,True,2025-03-31,True,OCI-ENT-25-009,True,84000.0,True,6720.0,True,,False,5,Llama-3.2-3B,SLM,3B
UC2_060,software_saas,hard,43,"{
  ""vendor_name"": ""Oracle Cloud"",
  ""invoice_date"": ""2025-03-31"",
  ""invoice_number"": ""OCI-ENT-25-009"",
  ""total_amount"": 84000.0,
  ""tax_amount"": 6720.0,
  ""line_item_count"": null
}",1964,True,clean,Oracle Cloud,True,2025-03-31,True,OCI-ENT-25-009,True,84000.0,True,6720.0,True,,False,5,Llama-3.2-3B,SLM,3B
UC2_060,software_saas,hard,44,"{
  ""vendor_name"": ""Oracle Cloud"",
  ""invoice_date"": ""2025-03-31"",
  ""invoice_number"": ""OCI-ENT-25-009"",
  ""total_amount"": 84000.0,
  ""tax_amount"": 6720.0,
  ""line_item_count"": null
}",1965,True,clean,Oracle Cloud,True,2025-03-31,True,OCI-ENT-25-009,True,84000.0,True,6720.0,True,,False,5,Llama-3.2-3B,SLM,3B
UC2_063,tech_services,easy,42,"{
  ""vendor_name"": ""DataBridge Systems Inc."",
  ""invoice_date"": ""2024-09-03"",
  ""invoice_number"": ""DBS-2024-0042-X"",
  ""total_amount"": 9720.0,
  ""tax_amount"": 720.0,
  ""line_item_count"": 3
}",2933,True,clean,DataBridge Systems Inc.,True,2024-09-03,True,DBS-2024-0042-X,True,9720.0,True,720.0,True,3,True,6,Llama-3.2-3B,SLM,3B
UC2_063,tech_services,easy,43,"{
  ""vendor_name"": ""DataBridge Systems Inc."",
  ""invoice_date"": ""2024-09-03"",
  ""invoice_number"": ""DBS-2024-0042-X"",
  ""total_amount"": 9720.0,
  ""tax_amount"": 720.0,
  ""line_item_count"": 3
}",2261,True,clean,DataBridge Systems Inc.,True,2024-09-03,True,DBS-2024-0042-X,True,9720.0,True,720.0,True,3,True,6,Llama-3.2-3B,SLM,3B
UC2_063,tech_services,easy,44,"{
  ""vendor_name"": ""DataBridge Systems Inc."",
  ""invoice_date"": ""2024-09-03"",
  ""invoice_number"": ""DBS-2024-0042-X"",
  ""total_amount"": 9720.0,
  ""tax_amount"": 720.0,
  ""line_item_count"": 3
}",2145,True,clean,DataBridge Systems Inc.,True,2024-09-03,True,DBS-2024-0042-X,True,9720.0,True,720.0,True,3,True,6,Llama-3.2-3B,SLM,3B
UC2_068,professional_services,easy,42,"{
  ""vendor_name"": ""Rivera & Chen CPAs"",
  ""invoice_date"": ""2024-12-31"",
  ""invoice_number"": ""RC-2024-Q4-009-X"",
  ""total_amount"": 11556.0,
  ""tax_amount"": 856.0,
  ""line_item_count"": 2
}",2797,True,clean,Rivera & Chen CPAs,True,2024-12-31,True,RC-2024-Q4-009-X,True,11556.0,True,856.0,True,2,True,6,Llama-3.2-3B,SLM,3B
UC2_068,professional_services,easy,43,"{
  ""vendor_name"": ""Rivera & Chen CPAs"",
  ""invoice_date"": ""2024-12-31"",
  ""invoice_number"": ""RC-2024-Q4-009-X"",
  ""total_amount"": 11556.0,
  ""tax_amount"": 856.0,
  ""line_item_count"": 2
}",2112,True,clean,Rivera & Chen CPAs,True,2024-12-31,True,RC-2024-Q4-009-X,True,11556.0,True,856.0,True,2,True,6,Llama-3.2-3B,SLM,3B
UC2_068,professional_services,easy,44,"{
  ""vendor_name"": ""Rivera & Chen CPAs"",
  ""invoice_date"": ""2024-12-31"",
  ""invoice_number"": ""RC-2024-Q4-009-X"",
  ""total_amount"": 11556.0,
  ""tax_amount"": 856.0,
  ""line_item_count"": 2
}",2200,True,clean,Rivera & Chen CPAs,True,2024-12-31,True,RC-2024-Q4-009-X,True,11556.0,True,856.0,True,2,True,6,Llama-3.2-3B,SLM,3B
UC2_069,office_supplies,medium,42,"{
  ""vendor_name"": ""Global Office Essentials"",
  ""invoice_date"": ""2025-02-05"",
  ""invoice_number"": ""GOE/2025/INV/0561-X"",
  ""total_amount"": 575.76,
  ""tax_amount"": 95.96,
  ""line_item_count"": 3
}",2847,True,clean,Global Office Essentials,True,2025-02-05,True,GOE/2025/INV/0561-X,True,575.76,True,95.96,True,3,True,6,Llama-3.2-3B,SLM,3B
UC2_069,office_supplies,medium,43,"{
  ""vendor_name"": ""Global Office Essentials"",
  ""invoice_date"": ""2025-02-05"",
  ""invoice_number"": ""GOE/2025/INV/0561-X"",
  ""total_amount"": 575.76,
  ""tax_amount"": 95.96,
  ""line_item_count"": 3
}",2056,True,clean,Global Office Essentials,True,2025-02-05,True,GOE/2025/INV/0561-X,True,575.76,True,95.96,True,3,True,6,Llama-3.2-3B,SLM,3B
